customerID,gender,senior,dependents,tenure,phone_lines,service,insurance,streaming,contract,billing,payment,charge_month,charge_total,churn
7590-VHVEG,2,0,1,1,0,2,1,0,1,2,2,1,29.85,0
5575-GNVDE,1,0,0,2,1,2,2,0,2,1,1,2,1889.5,0
3668-QPYBK,1,0,0,1,1,2,2,0,1,2,1,2,108.15,1
7795-CFOCW,1,0,0,2,0,2,3,0,2,1,3,2,1840.75,0
9237-HQITU,2,0,0,1,1,3,0,0,1,2,2,3,151.65,1
9305-CDSKC,2,0,0,1,2,3,1,2,1,2,2,4,820.5,1
1452-KIOVK,1,0,1,1,2,3,1,1,1,2,3,3,1949.4,0
6713-OKOMC,2,0,0,1,0,2,1,0,1,1,1,1,301.9,0
7892-POOKP,2,0,1,2,2,3,2,2,1,2,2,4,3046.05,1
6388-TABGU,1,0,1,3,1,2,2,0,2,1,3,2,3487.95,0
9763-GRSKD,1,0,2,1,1,2,1,0,1,2,1,2,587.45,0
7469-LKBCI,1,0,0,1,1,1,0,0,3,1,3,1,326.8,0
8091-TTVAX,1,0,1,3,2,3,1,2,2,1,3,4,5681.1,0
0280-XJGEX,1,0,0,3,2,3,2,2,1,2,3,4,5036.3,1
5129-JLPIS,1,0,0,2,1,3,3,2,1,2,2,4,2686.05,0
3655-SNQYZ,2,0,2,3,2,3,4,2,3,1,3,4,7895.15,0
8191-XWSZG,2,0,0,3,1,1,0,0,2,1,1,1,1022.95,0
9959-WOFKT,1,0,1,3,2,3,2,2,3,1,3,4,7382.25,0
4190-MFLUW,2,0,2,1,1,2,2,0,1,1,3,2,528.35,1
4183-MYFRB,2,0,0,1,1,3,2,1,1,2,2,4,1862.9,0
8779-QRDMV,1,1,0,1,0,2,1,1,1,2,2,2,39.65,1
1680-VDCWW,1,0,1,1,1,1,0,0,2,1,3,1,202.25,0
1066-JKSGK,1,0,0,1,1,1,0,0,1,1,1,1,20.15,1
3638-WEABW,2,0,1,3,2,2,2,0,3,2,3,2,3505.1,0
6322-HRPFA,1,0,2,3,1,2,3,0,1,1,3,2,2970.3,0
6865-JZNKO,2,0,0,2,1,2,2,0,1,2,3,2,1530.6,0
6467-CHFZW,1,0,2,2,2,3,1,2,1,2,2,4,4749.15,1
8665-UTDHZ,1,0,2,1,0,2,1,0,1,1,2,2,30.2,1
5248-YGIJN,1,0,1,3,2,2,4,2,3,2,3,4,6369.45,0
8773-HHUOZ,2,0,1,1,1,2,0,2,1,2,1,3,1093.1,1
3841-NFECX,2,1,1,3,2,3,4,0,3,2,3,4,6766.95,0
4929-XIHVW,1,1,1,1,1,3,1,2,1,2,3,4,181.65,0
6827-IEAUQ,2,0,2,2,1,2,4,0,2,1,1,3,1874.45,0
7310-EGVHZ,1,0,0,1,1,1,0,0,1,1,3,1,20.2,0
3413-BMNZE,1,1,0,1,1,2,0,0,1,1,3,2,45.25,0
6234-RAAPL,2,0,2,3,2,3,3,1,3,1,3,4,7251.7,0
6047-YHPVI,1,0,0,1,1,3,0,0,1,2,2,3,316.9,1
6572-ADKRS,2,0,0,2,1,3,1,0,1,2,3,3,3548.3,0
5380-WJKOV,1,0,0,2,2,3,2,2,1,2,2,4,3549.25,1
8168-UQWWF,2,0,0,1,2,3,1,2,1,2,3,4,1105.4,1
8865-TNMNX,1,0,2,1,1,2,1,0,2,1,1,2,475.7,0
9489-DEDVP,2,0,2,3,2,2,2,1,3,2,3,3,4872.35,0
9867-JCZSP,2,0,2,1,1,1,0,0,2,1,1,1,418.25,0
4671-VJLCL,2,0,0,3,2,2,4,1,3,2,3,3,4861.45,0
4080-IIARD,2,0,1,1,2,2,3,1,1,2,2,3,981.45,0
3714-NTNFO,2,0,0,3,2,3,0,1,1,2,2,3,3906.7,0
5948-UJZLF,1,0,0,1,1,2,1,0,1,1,1,2,97,0
7760-OYPDY,2,0,0,1,1,3,0,1,1,2,2,3,144.15,1
7639-LIAYI,1,0,0,3,2,2,2,2,3,2,3,3,4217.8,0
2954-PIBKO,2,0,2,3,2,2,3,0,3,2,3,3,4254.1,0
8012-SOUDQ,2,1,0,2,2,3,1,1,1,2,2,4,3838.75,0
9420-LOJKX,2,0,0,1,1,3,2,2,1,2,3,4,1426.4,1
6575-SUVOI,2,1,1,2,2,2,2,1,1,2,3,3,1752.65,0
7495-OOKFY,2,1,1,1,2,3,1,0,1,2,3,3,633.3,1
4667-QONEA,2,1,2,3,1,2,4,1,2,2,3,3,4456.35,0
1658-BYGOY,1,1,0,1,2,3,0,2,1,2,2,4,1752.55,1
8769-KKTPH,2,0,2,3,2,3,1,2,2,2,3,4,6311.2,0
5067-XJQFU,1,1,2,3,2,3,3,2,2,2,2,4,7076.35,0
3957-SQXML,2,0,2,2,2,1,0,0,3,1,3,1,894.3,0
5954-BDFSG,2,0,0,3,2,3,2,2,3,2,3,4,7853.7,0
0434-CSFON,2,0,1,2,2,3,1,2,1,2,2,4,4707.1,0
1215-FIGMP,1,0,0,3,2,3,1,1,1,2,3,3,5450.7,0
0526-SXDJP,1,0,1,3,0,2,3,0,3,1,3,2,2962,0
0557-ASKVU,2,0,2,1,1,2,2,0,2,2,3,2,957.1,0
5698-BQJOH,2,0,0,1,2,3,0,2,1,1,2,4,857.25,1
5122-CYFXA,2,0,0,1,1,2,2,2,1,2,2,3,244.1,0
8627-ZYGSZ,1,0,1,2,2,3,1,0,2,2,2,3,3650.35,0
3410-YOQBQ,2,0,0,2,1,2,3,2,3,1,1,3,2497.2,0
3170-NMYVV,2,0,2,3,1,1,0,0,3,1,3,1,930.9,0
7410-OIEDU,1,0,0,1,1,3,2,0,1,2,1,3,887.35,0
2273-QCKXA,1,0,0,1,1,2,1,0,1,1,1,2,49.05,0
0731-EBJQB,2,0,2,3,1,1,0,0,2,2,2,1,1090.65,0
